date,location_pool_id,water_year,water_level_in
2019-01-11,ncos_9,2019,6
2019-01-11,ncos_8,2019,13.25
2019-01-11,ncos_7,2019,15
2019-01-11,ncos_6,2019,16
2019-01-11,ncos_5,2019,15.5
2019-01-11,ncos_4,2019,15.75
2019-01-11,ncos_3,2019,10.75
2019-01-11,ncos_2,2019,17.5
2019-01-11,ncos_1,2019,15.75
2019-01-17,west_campus_1,2019,9.5
2019-01-17,west_campus_13,2019,8
2019-01-17,west_campus_11,2019,7
2019-01-17,west_campus_10,2019,8.75
2019-01-17,west_campus_9,2019,8
2019-01-17,west_campus_8,2019,8
2019-01-17,west_campus_7,2019,2.5
2019-01-17,west_campus_6,2019,13
2019-01-17,west_campus_5,2019,7
2019-01-17,west_campus_4,2019,10
2019-01-17,west_campus_2,2019,6
2019-01-17,west_campus_3,2019,2.5
2019-01-17,ncos_9,2019,8
2019-01-17,ncos_8,2019,15.75
2019-01-17,ncos_7,2019,17.5
2019-01-17,ncos_6,2019,18
2019-01-17,ncos_5,2019,17.75
2019-01-17,ncos_4,2019,17.5
2019-01-17,ncos_3,2019,13.5
2019-01-17,ncos_2,2019,18
2019-01-17,ncos_1,2019,18
2019-01-25,south_parcel_3,2019,13.25
2019-01-25,west_campus_5,2019,0
2019-01-25,west_campus_4,2019,8
2019-01-25,west_campus_2,2019,4.375
2019-01-25,west_campus_3,2019,0
2019-01-25,west_campus_1,2019,7
2019-01-25,storke_ranch_2007,2019,9
2019-01-25,storke_ranch_North,2019,9.75
2019-01-25,storke_ranch_South,2019,8.75
2019-01-25,storke_ranch_2017,2019,9.25
2019-01-25,storke_ranch_East,2019,5
2019-01-25,storke_ranch_Main,2019,10.25
2019-01-25,ncos_9,2019,0
2019-01-25,ncos_8,2019,12
2019-01-25,ncos_7,2019,11.5
2019-01-25,ncos_6,2019,11.5
2019-01-25,ncos_5,2019,11.75
2019-01-25,ncos_4,2019,15.5
2019-01-25,ncos_3,2019,8.5
2019-01-25,ncos_2,2019,18
2019-01-25,ncos_1,2019,18
2019-01-25,south_parcel_SWW 1,2019,0
2019-01-25,south_parcel_9,2019,5
2019-01-25,south_parcel_8,2019,0
2019-01-25,south_parcel_7,2019,12.5
2019-01-25,south_parcel_6,2019,10
2019-01-25,south_parcel_5,2019,18.75
2019-01-25,south_parcel_4,2019,10.5
2019-01-25,south_parcel_1,2019,7.5
2019-01-25,south_parcel_2,2019,12.75
2019-01-30,manzanita_village_San Miguel,2019,6.5
2019-01-30,manzanita_village_Santa Rosa,2019,5
2019-01-30,manzanita_village_Santa Cruz,2019,1
2019-01-30,manzanita_village_Anacapa West,2019,4.75
2019-01-30,manzanita_village_Anacapa East,2019,7
2019-01-30,manzanita_village_Santa Barbara,2019,7
2019-01-30,manzanita_village_Santa Catalina,2019,8.5
2019-01-30,manzanita_village_Chumash,2019,8
2019-01-30,manzanita_village_Manzanita Lake,2019,14.5
2019-01-30,copr_11,2019,2.75
2019-01-30,copr_10,2019,4.25
