location,pool_id,site_area_m2,pool_area_m2,pool_circumference_ft,pool_edge_ratio,edge_distance_max,restoration_year,time_since,period,depth_cm,global_id,monitor_names,transect_axis,total_transect_length,transect_notes,transect_distance_of_quadrat,side_of_transect_left_or_right,vegetation_zone,quadrat_notes,percent_bare_ground,percent_thatch,count_of_native_species_automatically_calculated,sum_of_native_cover_automatically_calculated,count_of_non_native_species_automatically_calculated,sum_of_non_native_cover_automatically_calculated,count_of_unknown_species_automatically_calculated,sum_of_unknown_cover_automatically_calculated,sum_of_all_cover_automatically_calculated,type,species,percent_cover,creation_date,quadrat_id,topo_0_m,location_pool_id
west_campus,10,109564.724,98.54318457,132.5517435,0.124965231,154.1,2002,17,131,28.5,f4dae41d-1057-4e0e-9671-6dfcc1463212,Joanna Tang,major,19,0,0,Left,edge,0,0,99,0,0,8,129,0,0,228,native,NA,0,7/8/19,west_campus_10_major_0,0.285,west_campus_10
west_campus,10,109564.724,98.54318457,132.5517435,0.124965231,154.1,2002,17,131,28.5,6c1ad98b-2259-4fa1-a606-26d82a099957,Joanna Tang,major,19,0,0,Left,edge,0,0,99,0,0,8,129,129,0,0,nonnative,Plantago_lanceolata,2,7/8/19,west_campus_10_major_0,0.285,west_campus_10
west_campus,10,109564.724,98.54318457,132.5517435,0.124965231,154.1,2002,17,131,28.5,d91c56f0-1a89-4cfc-8027-c0573192f652,Joanna Tang,major,19,0,0,Left,edge,0,0,99,0,0,8,129,129,0,0,nonnative,Festuca_perennis,96,7/8/19,west_campus_10_major_0,0.285,west_campus_10
west_campus,10,109564.724,98.54318457,132.5517435,0.124965231,154.1,2002,17,131,28.5,4c045570-ef55-415b-8236-9b011ecc30b9,Joanna Tang,major,19,0,0,Left,edge,0,0,99,0,0,8,129,129,0,0,nonnative,Avena_fatua,19,7/8/19,west_campus_10_major_0,0.285,west_campus_10
west_campus,10,109564.724,98.54318457,132.5517435,0.124965231,154.1,2002,17,131,28.5,36a18f92-eb7f-4227-ad00-9a2742d52a66,Joanna Tang,major,19,0,0,Left,edge,0,0,99,0,0,8,129,129,0,0,nonnative,Bromus_hordeaceus,1,7/8/19,west_campus_10_major_0,0.285,west_campus_10
west_campus,10,109564.724,98.54318457,132.5517435,0.124965231,154.1,2002,17,131,28.5,bb2c84af-fccc-41bb-8a20-22657ab4369b,Joanna Tang,major,19,0,0,Left,edge,0,0,99,0,0,8,129,129,0,0,nonnative,Sonchus_asper,1,7/8/19,west_campus_10_major_0,0.285,west_campus_10
west_campus,10,109564.724,98.54318457,132.5517435,0.124965231,154.1,2002,17,131,28.5,288a0b53-7755-4057-b29f-6d073a97a6b6,Joanna Tang,major,19,0,0,Left,edge,0,0,99,0,0,8,129,129,0,0,nonnative,Medicago_polymorpha,8,7/8/19,west_campus_10_major_0,0.285,west_campus_10
west_campus,10,109564.724,98.54318457,132.5517435,0.124965231,154.1,2002,17,131,28.5,a78fd9c9-ae09-44f6-8178-da585e722b8d,Joanna Tang,major,19,0,0,Left,edge,0,0,99,0,0,8,129,129,0,0,nonnative,Lythrum_hyssopifolia,1,7/8/19,west_campus_10_major_0,0.285,west_campus_10
west_campus,10,109564.724,98.54318457,132.5517435,0.124965231,154.1,2002,17,131,28.5,47e39a28-93b1-4ac5-b014-65193ad9ea71,Joanna Tang,major,19,0,0,Left,edge,0,0,99,0,0,8,129,129,0,0,nonnative,Festuca_bromoides,1,7/8/19,west_campus_10_major_0,0.285,west_campus_10
west_campus,10,109564.724,98.54318457,132.5517435,0.124965231,154.1,2002,17,131,28.5,6ee5873a-308c-431a-b922-f9de0fbf3a51,Joanna Tang,major,19,0,0,Left,edge,0,0,99,0,0,8,129,0,0,228,unknown,NA,0,7/8/19,west_campus_10_major_0,0.285,west_campus_10
