object_id,global_id,parent_global_id,monitoring_date,location,pool_id,transect_axis,total_transect_length,transect_notes,transect_distance_of_quadrat,side_of_transect_left_or_right,vegetation_zone,quadrat_notes,percent_bare_ground,percent_thatch,count_of_native_species_automatically_calculated,sum_of_native_cover_automatically_calculated,count_of_non_native_species_automatically_calculated,sum_of_non_native_cover_automatically_calculated,count_of_unknown_species_automatically_calculated,sum_of_unknown_cover_automatically_calculated,sum_of_all_cover_automatically_calculated,type,species,unlisted_species,other_cover_notes,percent_cover,location_pool_id
2828,01494c91-f28c-4b0d-a184-571bc2d7d43a,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,0,0,221,native,NA,NA,NA,0,delsol_caminocorto_2
2779,f3475219-dbe3-4ecb-a6f0-da2c057df3ab,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,nonnative,Festuca_perennis,NA,NA,42,delsol_caminocorto_2
2780,966a160d-7baa-4485-b09d-546df7d6cf4c,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,nonnative,Avena_fatua,NA,NA,36,delsol_caminocorto_2
2781,59528ce2-2ba9-4200-bdc0-873aca4714d7,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,nonnative,Vicia_villosa,NA,NA,16,delsol_caminocorto_2
2782,6ef8e91c-07da-4341-ad56-547942449ffe,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,nonnative,Erodium_botrys,NA,NA,20,delsol_caminocorto_2
2783,4d08f1ea-ac32-4e39-bc5a-60101cd7ac6f,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,nonnative,Carduus_pycnocephalus,NA,NA,2,delsol_caminocorto_2
2784,f3a042e8-a042-4fc7-927c-a3532ab8c408,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,nonnative,Hypochaeris_glabra,NA,NA,1,delsol_caminocorto_2
2785,fc0760fc-2207-4b74-8cc0-615b4b2eaf66,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,nonnative,Lysimachia_arvensis,NA,NA,1,delsol_caminocorto_2
2786,c9d75289-fc15-4c07-bdbc-8730b353105b,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,nonnative,Bromus_diandrus,NA,NA,4,delsol_caminocorto_2
856,d4ba36fb-0c0c-43ff-ba2e-6fb74aca2f95,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,0,0,221,unknown,NA,NA,NA,0,delsol_caminocorto_2
857,a54d9821-809f-4b20-9976-196b8b6b6eec,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,0,0,221,other,NA,NA,NA,0,delsol_caminocorto_2
2827,d58c0460-95ee-4ddb-b27e-f90e2ab129c6,c00aa06b-f18a-4980-b3e7-4ad778d2b846,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,2,Left,edge,0,0,99,0,0,6,100,0,0,199,native,NA,NA,NA,0,delsol_caminocorto_2
2773,ab84880b-ff9b-49f4-b674-19b18ebb07c8,c00aa06b-f18a-4980-b3e7-4ad778d2b846,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,2,Left,edge,0,0,99,0,0,6,100,100,0,0,nonnative,Vicia_villosa,NA,NA,30,delsol_caminocorto_2
2774,51201cca-a4a8-44b9-bf4c-8c7c76dfb14c,c00aa06b-f18a-4980-b3e7-4ad778d2b846,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,2,Left,edge,0,0,99,0,0,6,100,100,0,0,nonnative,Festuca_perennis,NA,NA,62,delsol_caminocorto_2
2775,de3241f8-f7cc-402e-854b-bef66854c54c,c00aa06b-f18a-4980-b3e7-4ad778d2b846,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,2,Left,edge,0,0,99,0,0,6,100,100,0,0,nonnative,Avena_fatua,NA,NA,5,delsol_caminocorto_2
2776,f7398285-4932-4d35-80e5-ece49b71ea86,c00aa06b-f18a-4980-b3e7-4ad778d2b846,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,2,Left,edge,0,0,99,0,0,6,100,100,0,0,nonnative,Carduus_pycnocephalus,NA,NA,1,delsol_caminocorto_2
2777,75bae872-4f32-4a0c-96ff-11f4a5acf30d,c00aa06b-f18a-4980-b3e7-4ad778d2b846,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,2,Left,edge,0,0,99,0,0,6,100,100,0,0,nonnative,Bromus_diandrus,NA,NA,1,delsol_caminocorto_2
2778,7152a8c8-8643-4336-b1f0-8b751d2a5b4a,c00aa06b-f18a-4980-b3e7-4ad778d2b846,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,2,Left,edge,0,0,99,0,0,6,100,100,0,0,nonnative,Lythrum_hyssopifolia,NA,NA,1,delsol_caminocorto_2
855,b9813e9a-a421-477c-a99a-64a3b155831a,c00aa06b-f18a-4980-b3e7-4ad778d2b846,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,2,Left,edge,0,0,99,0,0,6,100,0,0,199,unknown,NA,NA,NA,0,delsol_caminocorto_2
856,bcf24334-61d9-4813-90fc-e3f50038f14b,c00aa06b-f18a-4980-b3e7-4ad778d2b846,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,2,Left,edge,0,0,99,0,0,6,100,0,0,199,other,NA,NA,NA,0,delsol_caminocorto_2
2824,9a2e31f1-84a6-449c-9962-c2e251c083af,9f96b613-7fd3-4750-8d0d-376e40d6186c,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,4,Right,transition,0,7,2,3,60,4,68,0,0,137,native,Eryngium_vaseyi,NA,NA,36,delsol_caminocorto_2
2825,34f41c11-0bc2-45dd-a48e-467957cce8da,9f96b613-7fd3-4750-8d0d-376e40d6186c,2019-05-24,delsol_caminocorto,2,major,38,Eryngium armatum in other half of “U” as well,4,Right,transition,0,7,2,3,60,4,68,0,0,137,native,Eleocharis_macrostachya,NA,NA,21,delsol_caminocorto_2
